"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"T5UAAMsjSNKuJ3rm5rWk2Z","34205","","2003","C","USD","322215545.1"
"jHGzycfzQxVWMzAJYcgcmA","34192","","2003","C","USD","19332.93271"
"5YKnNDbLSAMd5pcFUWcwtX","34105","","2003","C","USD","973221.3294"
"GiwoWAYMe3SnW3mnVwGdGS","34190","","2003","C","USD","8055388.628"
"GzqYNyxE26FarvUiYHHe67","34448","","2003","C","USD","9732213.294"
"UjenDR8uQuEmDrTxWj8Za6","34130","","2004","C","USD","30137.30041"
"yE8E6cVhiEBJ9yL9GgfKuZ","34449","","2004","C","USD","2730883.075"
"ACbsKq8mhc6STmqgw6XuG9","34133","","2004","C","USD","5097648.406"
"E5zSkW7mcUaZPUKr5sDV7m","39187","","2005","C","USD","287087.7753"
"Uy2WYX6ihvseC8XtqQjAPH","34135","","2005","C","USD","525524.8003"
"KFoKJsFUbBV4iksTgxdEBh","34275","","2006","C","USD","84392.73717"
"RQhRfoX5MSUVV6hfTALaqG","35767","","2006","C","USD","109682746.6"
"LnVN3wT7YiNkBHt8bLYa6i","34278","","2006","C","USD","40508513.84"
"bYS8yRZicTtB8x67QhzApT","34279","","2006","C","USD","50635642.3"
"6QjAZGqe5PE3wMzG5PAcCD","34269","","2006","C","USD","269160114.3"
"CuaL5LsdsafMrbQtJZYnQY","34271","","2006","C","USD","113047248.0"
"J7EfyME4D3kuCtXA7C7zqD","35826","","2006","C","USD","42392717.99"
"kPwCJaBZDCRfXDCYsCNPiA","34211","","2008","C","USD","505563.2421"
"4PQkKz8b9LfAEV9x8cHScm","34212","","2008","C","USD","505563.2421"
"tyFTU7REYyahQzZRfTczxW","34451","","2008","C","USD","5055632.421"
"bCu9GKnLz9EgSoP8HSqvxk","34291","","2008","C","USD","10111264.84"
"rAqByNDEJSTdXrpPYN9A9Y","34214","","2008","C","USD","4365419.57"
"6uL8yT8cyMpxXEJ9setQE4","34218","","2008","C","USD","252781.621"
"G77PJjLARzSnxUcjk5QyuJ","38436","","2008","C","USD","252781.621"
"WgDHsy3hSzEzUMeNrztyKo","35872","","2008","C","USD","6066.758905"
"ojarPdCRyizQDgwUowJkSe","35785","","2008","C","USD","20222529.68"
"wfzdRepp6UTsvPaWv34cTa","35796","","2008","C","USD","480196152.7"
"EMeEzkNJYz8duGqmTxknbg","38986","","2009","C","USD","8197421.966"
"AFFRG6BFyo3yjfvg9UXpsM","38987","","2009","C","USD","11000.0"
"jFJ3Lqfkx3CWbLM8WJXhEe","38982","","2011","C","USD","41447.52057"
"RTjXdCQ96ptNzCYNLT4gM6","38532","","2012","C","USD","5337049.377"
"iiKgEAwg8kBa6jQVFFPSya","38976","","2012","C","USD","50428.81301"
"ACY4GoAcfFL682MM9aagZD","38978","","2012","C","USD","42024.01084"
"5RmtkppY9bMDGx7WFt4xcM","38537","","2012","C","USD","3988918.803"
"Lx7bimTQGi7swUmXDAP7Ma","34195","","2012","C","USD","840480.2168"
"qJudZxcHJou8EfVMFd9oZJ","36064","","2007","C","USD","2386649548.0"
"bpr6PWZT8XNWGm4cgGzkqm","36061","","2007","C","USD","357997.4323"
"3FM2H8h5zWu9wtz6vtk4NS","35841","","2008","C","USD","101112.6484"
"KvXUYkc454Aztwtvtykgrk","38169","","2009","C","USD","50000000.0"
"evppabb3CyD6RBf6hFk2fF","36352","","2011","C","USD","24868512.34"
"UHEsFavRo4kYtHnjqiXh2g","37518","","2014","C","USD","3980113636.0"
"tfP6sSWr35jBDsAgyyhSqQ","36417","","2014","C","USD","76127.16256"
"JqyA3D6uNVHd7hQqF4mN4e","36420","","2014","C","USD","45454545.45"
"LucWDUYuH2dqzYzi5uNAkd","36258","","2012","C","USD","3988918.803"
"HRNdKfwwV2cAZbhn5Fjd2g","35784","","2002","C","USD","1983763.143"
"gWtmpEWaNu2kZQz4zuCMg7","35836","","2003","C","USD","1933293.271"
"j7qxo53kQWeekAZuRKBxyV","36008","","2006","C","USD","1687854.743"
"8jAENqNdN9UuDwLjDbMp69","36363","","2011","C","USD","124342561.7"
"Fwajpp3YbL9SCqei8sUZaG","39170","","2014","C","USD","10454545.45"
"n3vUhpcBCYXgfCzQs5r2Dd","36351","","2014","C","USD","2952488.235"
"w6PEwfzXSfKnsX3bAko2d7","36364","","2011","C","USD","41447520.57"
"VNCsSo8LLLjNFumvHa9XrR","36419","","2014","C","USD","10333708.82"
"f3iSqTpAW6KJqLVH5BzsPN","30642","","2013","C","USD","7339449.541"
"LS3QUhpuoKWmbUeniKbvoP","30392","","2013","C","USD","1489908.257"
"p5HoZzKueekd3DsgfsQyRX","30637","","2013","C","USD","7465137.615"
"G8rDyM67mw6raCp6BzuzXS","30353","","2012","C","USD","95318214.74"
"2zBPRFwo7UnyZizKkfeX8e","30175","","2012","C","USD","15955675.21"
"vnhbrrnRc27XQs3EAb4BEd","30641","","2012","C","USD","7564321.951"
"wh4rFLLEjr6XowSfCJmpo5","30640","","2012","C","USD","21012005.42"
"ZvmEUwdK4apB5A642md297","30699","","2012","C","USD","6648198.005"
"uqKGpMWD4o8iKmqgonGPsY","30729","","2012","C","USD","6648198.005"
"NUDH7derDuF5oSzyJBkXMb","2021","","2011","C","USD","6414573.805"
"UDzLtaLkkWUMNyya8pEfUJ","2022","","2011","C","USD","6414573.805"
"y9vbTvgcwREGX2gg8Hys2c","17115","","2010","C","USD","10985398.6"
"tsrkmcgwz2cBZUNRf8sgDR","2018","","2010","C","USD","4090575.714"
"Lo8Hftumg4uyhDA5iXSmN5","2020","","2010","C","USD","5578057.791"
"gx5cU8KiP8KbXBDHPCRJZi","2015","","2009","C","USD","5855301.404"
"tKSGymrX5dY4g7cF3aH2MN","2014","","2009","C","USD","32057775.19"
"VkkFkNk6mWAmRJxaM6JXTd","2009","","2009","C","USD","50000000.0"
"dSgMDvYomZbnvL5FffDhgM","1992","","2009","C","USD","70000.0"
"4xoBHKFTPLNowcakr6Jwan","1980","","2008","C","USD","50556.32421"
"mc7jXh3cYhWX7gn7tjBxSf","1978","","2008","C","USD","110940.3648"
"p5ya7dhR4ssqZdP3soGbyA","1984","","2008","C","USD","1455139.857"
"hNYQMQYpxoPkTEwm9pUETB","955","","2008","C","USD","31132584.45"
